Gambling Task V.2.0  c2002                    

By:                                           

Antoine Bechara                               
Department of Neurology                       
University of Iowa                            

Based on the Gambling Task as published in:   

Bechara, A., Damasio, A. R., Damasio, H., &   
Anderson, S. W. (1994). Insensitivity to      
future consequences following damage to human 
prefrontal cortex. Cognition, 50, 7-15.       

Bechara, A., Tranel, D., & Damasio, H. (2000).
Characterization of the decision-making       
impairment of patients with bilateral lesions 
of the ventromedial prefrontal cortex.        
Brain, 123, 2189-2202.                        

Trial   Deck   Win   Lose   Score    Borrow    Time(ms)
  1      K'    100      0    2100     2000      136539
  2      K'    120   -250    1970     2000        333
  3      M'    250      0    2220     2000        762
  4      M'    220      0    2440     2000        721
  5      L'    250      0    2690     2000       1111
  6      L'    220      0    2910     2000        526
  7      N'    100      0    3010     2000       1464
  8      N'    117      0    3127     2000       1457
  9      K'    265      0    3392     2000        733
 10      K'     55   -200    3247     2000        305
 11      L'     80      0    3327     2000        346
 12      M'    265      0    3592     2000       4523
 13      M'    108      0    3700     2000       3129
 14      N'    265   -235    3730     2000        260
 15      L'    280      0    4010     2000      12499
 16      M'    108      0    4118     2000       1229
 17      L'    110      0    4228     2000        637
 18      M'    250   -923    3555     2000        193
 19      L'    250  -1025    2780     2000        448
 20      N'    280      0    3060     2000        446
 21      N'    235   -250    3045     2000        322
 22      K'    235      0    3280     2000        159
 23      L'     80      0    3360     2000        569
 24      K'    100      0    3460     2000       3341
 25      N'     90      0    3550     2000       1296
 26      M'    235      0    3785     2000        481
 27      N'    235   -755    3265     2000       4917
 28      M'     90      0    3355     2000        526
 29      L'    280      0    3635     2000       1413
 30      K'    235   -250    3620     2000        876
 31      M'    117      0    3737     2000        329
 32      M'     84   -554    3267     2000        890
 33      L'    265  -1325    2207     2000       8031
 34      M'    265      0    2472     2000        436
 35      M'    250      0    2722     2000        769
 36      M'    285      0    3007     2000        993
 37      M'     90      0    3097     2000       1828
 38      M'    134   -740    2491     2000        927
 39      N'    280      0    2771     2000        380
 40      N'    265   -515    2521     2000       1367
 41      M'     84      0    2605     2000        741
 42      K'    120      0    2725     2000       4049
 43      K'    110   -300    2535     2000       1806
 44      L'    285      0    2820     2000       5238
 45      L'    110      0    2930     2000       1608
 46      L'    250      0    3180     2000        985
 47      L'     90      0    3270     2000       5712
 48      L'    295  -1200    2365     2000       7911
 49      L'    280      0    2645     2000      22437
 50      M'     99      0    2744     2000        924
 51      K'     60   -150    2654     2000        345
 52      M'    117      0    2771     2000      14862
 53      M'    134      0    2905     2000        388
 54      N'    220   -582    2543     2000        777
 55      K'    265      0    2808     2000       2083
 56      M'    101   -549    2360     2000      23555
 57      L'    295      0    2655     2000      29384
 58      L'     90      0    2745     2000       3141
 59      M'    117      0    2862     2000       1740
 60      M'    125      0    2987     2000      24989
 61      M'    210      0    3197     2000       3472
 62      K'     50   -180    3067     2000      14206
 63      L'    285  -1500    1852     2000       1058
 64      M'    152      0    2004     2000        718
 65      M'    300   -853    1451     2000       1538
 66      L'    350      0    1801     2000       4212
 67      M'    300      0    2101     2000       6577
 68      M'    108      0    2209     2000       3041
 69      M'    125      0    2334     2000      13593
 70      M'    112   -560    1886     2000      49679
 71      M'    154      0    2040     2000        287
 72      M'    295      0    2335     2000       5167
 73      M'    143      0    2478     2000        381
 74      K'    285      0    2763     2000        392
 75      M'    108      0    2871     2000       8400
 76      K'     50   -100    2821     2000        446
 77      K'    120   -170    2771     2000       1533
 78      M'    117      0    2888     2000        390
 79      M'    134   -710    2312     2000      13696
 80      M'    325      0    2637     2000        517
 81      M'    310      0    2947     2000      17613
 82      L'    305      0    3252     2000       1309
 83      K'     70      0    3322     2000       1050
 84      N'    108      0    3430     2000        336
 85      M'    143      0    3573     2000       7140
 86      L'    280  -1400    2453     2000       1577
 87      M'    142   -850    1745     2000        394
 88      M'    153      0    1898     2000       5290
 89      M'    134      0    2032     2000        452
 90      M'    152      0    2184     2000       7157
 91      N'    108   -285    2007     2000       3215
 92      M'    142      0    2149     2000        324
 93      K'    265   -165    2249     2000       1992
 94      L'    140      0    2389     2000       8177
 95      N'    125   -550    1964     2000       1633
 96      M'    125      0    2089     2000        391
 97      M'    143   -904    1328     2000        347
 98      M'    340      0    1668     2000       1361
 99      L'    310      0    1978     2000        383
 100      K'     50   -185    1843     2000        514
