Gambling Task V.2.0  c2002                    

By:                                           

Antoine Bechara                               
Department of Neurology                       
University of Iowa                            

Based on the Gambling Task as published in:   

Bechara, A., Damasio, A. R., Damasio, H., &   
Anderson, S. W. (1994). Insensitivity to      
future consequences following damage to human 
prefrontal cortex. Cognition, 50, 7-15.       

Bechara, A., Tranel, D., & Damasio, H. (2000).
Characterization of the decision-making       
impairment of patients with bilateral lesions 
of the ventromedial prefrontal cortex.        
Brain, 123, 2189-2202.                        

Trial   Deck   Win   Lose   Score    Borrow    Time(ms)
  1      S'    150      0    2150     2000      69642
  2      Q'    600      0    2750     2000       1225
  3      R'    150      0    2900     2000       1251
  4      S'    180      0    3080     2000        977
  5      T'    600      0    3680     2000        326
  6      Q'    180   -550    3310     2000       1234
  7      T'    480      0    3790     2000       1685
  8      Q'    120      0    3910     2000       1036
  9      R'    480   -750    3640     2000        790
 10      Q'    720   -650    3710     2000        997
 11      S'    660      0    4370     2000       8463
 12      T'    120      0    4490     2000       8418
 13      R'    120      0    4610     2000        621
 14      Q'    165      0    4775     2000        779
 15      S'    720      0    5495     2000       1234
 16      T'    135      0    5630     2000       4165
 17      Q'    600      0    6230     2000       1974
 18      R'    720   -950    6000     2000       1206
 19      Q'    120   -530    5590     2000        745
 20      T'    540      0    6130     2000       4142
 21      Q'    180      0    6310     2000       5309
 22      R'    165      0    6475     2000        690
 23      S'    540      0    7015     2000        487
 24      T'    150  -1495    5670     2000        350
 25      Q'    165   -800    5035     2000       1256
 26      T'    540      0    5575     2000        787
 27      S'    150  -2355    3370     2000       1852
 28      Q'    480   -550    3300     2000       2963
 29      R'    600      0    3900     2000       5742
 30      R'    120   -950    3070     2000       2984
 31      T'    180      0    3250     2000      19041
 32      S'    540      0    3790     2000       1262
 33      R'    720      0    4510     2000        899
 34      R'    660   -825    4345     2000      13734
 35      R'    480   -990    3835     2000      23711
 36      S'    720      0    4555     2000       2539
 37      Q'    165      0    4720     2000       1098
 38      S'    660      0    5380     2000      25971
 39      Q'    600   -450    5530     2000       1556
 40      R'    165      0    5695     2000       5354
 41      T'    165      0    5860     2000        976
 42      Q'    135      0    5995     2000      10744
 43      T'    135  -1300    4830     2000      26380
 44      S'    135  -2350    2615     2000      15895
 45      Q'    150   -500    2265     2000        308
 46      T'    660      0    2925     2000      10261
 47      S'    660      0    3585     2000        457
 48      R'    600   -600    3585     2000      15975
 49      Q'    720   -600    3705     2000      32748
 50      R'    135      0    3840     2000        696
 51      S'    195      0    4035     2000      11079
 52      T'    195      0    4230     2000       2117
 53      Q'    165      0    4395     2000       6123
 54      T'    540      0    4935     2000      20354
 55      T'    150      0    5085     2000       3059
 56      T'    720  -1600    4205     2000      36895
 57      R'    780   -650    4335     2000      22237
 58      S'    135      0    4470     2000      46792
 59      Q'    135   -450    4155     2000        982
 60      S'    150      0    4305     2000        499
 61      T'    165      0    4470     2000      29532
 62      R'    180   -945    3705     2000        303
 63      R'    780      0    4485     2000       5810
 64      S'    180  -2600    2065     2000       1655
 65      S'    780      0    2845     2000       1755
 66      S'    660      0    3505     2000       2612
 67      T'    660      0    4165     2000       2932
 68      R'    135   -650    3650     2000       5219
 69      T'    195      0    3845     2000      14246
 70      Q'    540   -550    3835     2000       1475
 71      Q'    600   -545    3890     2000       3148
 72      Q'    150      0    4040     2000       1510
 73      S'    540      0    4580     2000       2986
 74      R'    540   -600    4520     2000       2250
 75      R'    600  -1490    3630     2000      12301
 76      T'    180      0    3810     2000       1076
 77      Q'    180   -550    3440     2000        989
 78      S'    600      0    4040     2000        979
 79      R'    720      0    4760     2000        687
 80      S'    720  -2320    3160     2000      10075
 81      T'    150  -1750    1560     2000       1718
 82      Q'    660   -450    1770     2000       2463
 83      S'    720      0    2490     2000       3759
 84      Q'    165      0    2655     2000      10657
 85      R'    720   -600    2775     2000       4194
 86      S'    210      0    2985     2000       1147
 87      T'    180      0    3165     2000       2369
 88      Q'    780   -400    3545     2000       5369
 89      S'    840      0    4385     2000      10815
 90      R'    210   -625    3970     2000        117
 91      T'    660      0    4630     2000         27
 92      S'    165      0    4795     2000        134
 93      Q'    150      0    4945     2000         99
 94      R'    165      0    5110     2000        101
 95      T'    840      0    5950     2000         60
 96      Q'    660   -650    5960     2000         37
 97      R'    780   -705    6035     2000         82
 98      S'    600  -2700    3935     2000         44
 99      Q'    195   -470    3660     2000         32
 100      T'    165      0    3825     2000        435
